40 20
#############    #########
#p..........#    #...#..k#
#...s...s...######...#...#
#........................###
#...........######.........#
#.....s.....#    #......####
#...........#    #......#
#...........#    #......#
#####...#####    ###....#
    #...#        #...####
    #...#        #......#
    #...#        #......#######
 ####...###      #####........#
 #........#      #............#
 #........########.....########
 #........##...........####
 #........##..............#
 #.f@.....####............#
 #........#d..............#
 ##########################
